"","Volume","qT2star","qT1","T1w","T2w","T1w/T2w","FLAIR"
"Volume",NA,0.0644340234109497,0.000107208454230623,3.72590847064203e-13,0,1.65286007103305e-10,0.0533597983392458
"qT2star",0.0644340234109497,NA,1.9471091405876e-12,1.15196768524228e-06,0.0188837118203069,0.0100882899105244,0.00650922594070691
"qT1",0.000107208454230623,1.9471091405876e-12,NA,0,1.28612676064677e-10,1.41214595572592e-10,4.60587212813834e-09
"T1w",3.72590847064203e-13,1.15196768524228e-06,0,NA,0,0,1.3000551746245e-09
"T2w",0,0.0188837118203069,1.28612676064677e-10,0,NA,0,2.65753536636826e-05
"T1w/T2w",1.65286007103305e-10,0.0100882899105244,1.41214595572592e-10,0,0,NA,2.37928372559537e-08
"FLAIR",0.0533597983392458,0.00650922594070691,4.60587212813834e-09,1.3000551746245e-09,2.65753536636826e-05,2.37928372559537e-08,NA
