"","Global","PV","Deep","SWM"
"Global",NA,0,4.6739058594536e-05,2.48689957516035e-14
"PV",0,NA,6.0225864609631e-05,1.93997751196662e-09
"Deep",4.6739058594536e-05,6.0225864609631e-05,NA,1.04844050685671e-06
"SWM",2.48689957516035e-14,1.93997751196662e-09,1.04844050685671e-06,NA
