"","Volume","qT2star","qT1","T1w","T2w","T1w/T2w","FLAIR"
"Volume",1,0.653969903676527,0.604758628579925,-0.565089440477268,0.145058527548114,-0.45495423200201,0.595725844395912
"qT2star",0.653969903676527,1,0.799276544308265,-0.495108864377968,-0.132747579983254,-0.43553972901515,0.730936060189861
"qT1",0.604758628579925,0.799276544308265,1,-0.694610126423549,0.0231438455686604,-0.527025598699951,0.651163703075726
"T1w",-0.565089440477268,-0.495108864377968,-0.694610126423549,1,-0.511191705631249,0.624879569944674,-0.371430079015957
"T2w",0.145058527548114,-0.132747579983254,0.0231438455686604,-0.511191705631249,1,-0.318335142914466,-0.101206295916173
"T1w/T2w",-0.45495423200201,-0.43553972901515,-0.527025598699951,0.624879569944674,-0.318335142914466,1,-0.484181355976108
"FLAIR",0.595725844395912,0.730936060189861,0.651163703075726,-0.371430079015957,-0.101206295916173,-0.484181355976108,1
