"","Global","PV","Deep","SWM"
"Global",NA,0,0.000570283836249796,2.42517117499119e-12
"PV",0,NA,0.000285084742789543,5.63132873665495e-10
"Deep",0.000570283836249796,0.000285084742789543,NA,1.37818645384868e-11
"SWM",2.42517117499119e-12,5.63132873665495e-10,1.37818645384868e-11,NA
