"","Global","PV","Deep","SWM"
"Global",NA,0,0.0443867555065049,0.524515236560465
"PV",0,NA,0.136221546838035,0.524492851631136
"Deep",0.0443867555065049,0.136221546838035,NA,4.54772715485774e-07
"SWM",0.524515236560465,0.524492851631136,4.54772715485774e-07,NA
