"","Volume","qT2star","qT1","T1w","T2w","T1w/T2w","FLAIR"
"Volume",1,0.170794510333804,0.349033763195809,-0.605608698277592,0.743731625752755,-0.545710940097153,0.178324813769336
"qT2star",0.170794510333804,1,0.590526112614064,-0.430332308376468,0.215877232411885,-0.236001162368833,0.249173680781452
"qT1",0.349033763195809,0.590526112614064,1,-0.722106618343353,0.548428979328665,-0.547419074614873,0.507172806917938
"T1w",-0.605608698277592,-0.430332308376468,-0.722106618343353,1,-0.793384906277683,0.739691094774875,-0.522397170065696
"T2w",0.743731625752755,0.215877232411885,0.548428979328665,-0.793384906277683,1,-0.753334458717743,0.376416515074076
"T1w/T2w",-0.545710940097153,-0.236001162368833,-0.547419074614873,0.739691094774875,-0.753334458717743,1,-0.486226522237305
"FLAIR",0.178324813769336,0.249173680781452,0.507172806917938,-0.522397170065696,0.376416515074076,-0.486226522237305,1
