"","Volume","qT2star","qT1","T1w","T2w","T1w/T2w","FLAIR"
"Volume",1,0.712326728945163,0.16108624619279,0.141503478119598,-0.0401460953241603,-0.220560709306822,0.630034044062531
"qT2star",0.712326728945163,1,0.528274279469311,-0.221851568671017,-0.0742825478757176,-0.33398635782932,0.508609113161208
"qT1",0.16108624619279,0.528274279469311,1,-0.812572659368924,0.211306204058785,-0.540111069612715,0.268532523590623
"T1w",0.141503478119598,-0.221851568671017,-0.812572659368924,1,-0.390273748149838,0.521884780562573,0.0271851827172419
"T2w",-0.0401460953241603,-0.0742825478757176,0.211306204058785,-0.390273748149838,1,-0.554757225099458,0.109846717451558
"T1w/T2w",-0.220560709306822,-0.33398635782932,-0.540111069612715,0.521884780562573,-0.554757225099458,1,-0.380719325516299
"FLAIR",0.630034044062531,0.508609113161208,0.268532523590623,0.0271851827172419,0.109846717451558,-0.380719325516299,1
