"","Volume","qT2star","qT1","T1w","T2w","T1w/T2w","FLAIR"
"Volume",NA,8.88178419700125e-16,4.09894340691608e-13,2.62785349036676e-11,0.117052414809653,2.27017149079245e-07,1.11199938146456e-12
"qT2star",8.88178419700125e-16,NA,0,1.20193539565605e-08,0.151855653699134,8.25741510723788e-07,0
"qT1",4.09894340691608e-13,0,NA,0,0.803543681259968,8.74000871675662e-10,1.33226762955019e-15
"T1w",2.62785349036676e-11,1.20193539565605e-08,0,NA,3.31825211752346e-09,3.95239396766556e-14,3.45862362380878e-05
"T2w",0.117052414809653,0.151855653699134,0.803543681259968,3.31825211752346e-09,NA,0.000443005126800511,0.275501180711198
"T1w/T2w",2.27017149079245e-07,8.25741510723788e-07,8.74000871675662e-10,3.95239396766556e-14,0.000443005126800511,NA,2.77679921278917e-08
"FLAIR",1.11199938146456e-12,0,1.33226762955019e-15,3.45862362380878e-05,0.275501180711198,2.77679921278917e-08,NA
