"","Global","PV","Deep","SWM"
"Global",NA,0,2.26775319802641e-05,0
"PV",0,NA,0.000231101830880265,0
"Deep",2.26775319802641e-05,0.000231101830880265,NA,4.44890635442619e-07
"SWM",0,0,4.44890635442619e-07,NA
