"","Global","PV","Deep","SWM"
"Global",NA,0,0.00860844323372145,1.05932260128228e-05
"PV",0,NA,0.0271809582056233,0.00125510282648911
"Deep",0.00860844323372145,0.0271809582056233,NA,1.30335736869824e-05
"SWM",1.05932260128228e-05,0.00125510282648911,1.30335736869824e-05,NA
