"","Volume","qT2star","qT1","T1w","T2w","T1w/T2w","FLAIR"
"Volume",NA,0,0.0814006100579538,0.126398365887598,0.666010387665046,0.0163936067788879,2.1094237467878e-14
"qT2star",0,NA,7.84406761766832e-10,0.0157594675327859,0.424040811595794,0.000218921178987141,4.09855349658983e-09
"qT1",0.0814006100579538,7.84406761766832e-10,NA,0,0.0216222733046694,2.75205858102368e-10,0.00328042923379535
"T1w",0.126398365887598,0.0157594675327859,0,NA,1.24888901127385e-05,1.35798217115735e-09,0.770120648921649
"T2w",0.666010387665046,0.424040811595794,0.0216222733046694,1.24888901127385e-05,NA,7.10882464005635e-11,0.236363339720962
"T1w/T2w",0.0163936067788879,0.000218921178987141,2.75205858102368e-10,1.35798217115735e-09,7.10882464005635e-11,NA,2.10973753556054e-05
"FLAIR",2.1094237467878e-14,4.09855349658983e-09,0.00328042923379535,0.770120648921649,0.236363339720962,2.10973753556054e-05,NA
