"","Volume","qT2star","qT1","T1w","T2w","T1w/T2w","FLAIR"
"Volume",NA,0,0.636222381659631,0.00614683908057168,0.786504673797253,0.132062358344994,9.38582545018107e-13
"qT2star",0,NA,3.44338245676923e-05,0.428364124527288,0.904084670226815,0.0234588211578419,3.63843382205076e-05
"qT1",0.636222381659631,3.44338245676923e-05,NA,0,0.00164129856124573,3.94693140393088e-08,0.479646643048161
"T1w",0.00614683908057168,0.428364124527288,0,NA,3.50996509546064e-06,2.61865196193867e-09,0.00768550252753819
"T2w",0.786504673797253,0.904084670226815,0.00164129856124573,3.50996509546064e-06,NA,2.75335310107039e-14,0.0600277437346939
"T1w/T2w",0.132062358344994,0.0234588211578419,3.94693140393088e-08,2.61865196193867e-09,2.75335310107039e-14,NA,0.00439611354849312
"FLAIR",9.38582545018107e-13,3.63843382205076e-05,0.479646643048161,0.00768550252753819,0.0600277437346939,0.00439611354849312,NA
