"","Global","PV","Deep","SWM"
"Global",NA,0,0.0185804620092895,9.49672351180375e-06
"PV",0,NA,0.0834660161999323,0.00135982661888057
"Deep",0.0185804620092895,0.0834660161999323,NA,7.15205672463526e-13
"SWM",9.49672351180375e-06,0.00135982661888057,7.15205672463526e-13,NA
