"x","y","std_beta","95CI_min","95CI_max","Fstat","pval","x_category","y_category","pval_fdr","pval_sig","pval_fdr_sig","std_beta_sig","std_beta_fdr_sig"
"CT_comp4","T2w_median_WMH_PV","-0.064888974649916","-0.262494730384998","0.132716781085166","1.28909097015588",0.516614780293119,"Atrophy","T2w",0.802154653144376,NA,NA,NA,NA
"CT_comp4","T2w_median_WMH_SWM","0.034115783695012","-0.15580247454893","0.224034041938954","3.08383906542662",0.722568640181907,"Atrophy","T2w",0.895266689938577,NA,NA,NA,NA
"CT_comp5","T2w_median_WMH","-0.065210939236673","-0.284377702750371","0.153955824277025","1.38779293574628",0.556687868163904,"Atrophy","T2w",0.816139680023099,NA,NA,NA,NA
"CT_comp5","T2w_median_WMH_deep","0.0328024067155059","-0.113871908437716","0.179476721868728","28.886121871581",0.658536415995183,"Atrophy","T2w",0.870880811356895,NA,NA,NA,NA
"CT_comp5","T2w_median_WMH_PV","-0.0490127356403683","-0.270247011630657","0.172221540349921","1.24049164157208",0.661537962851949,"Atrophy","T2w",0.871293902292811,NA,NA,NA,NA
"CT_comp5","T2w_median_WMH_SWM","0.153099724757589","-0.0530574364963597","0.359256886011537","3.54713216293357",0.143976919278163,"Atrophy","T2w",0.56888441275762,NA,NA,NA,NA
"CT_comp6","T2w_median_WMH","0.0296898232115087","-0.181907824453472","0.241287470876489","1.33056874930283",0.7815161047795,"Atrophy","T2w",0.913520113748653,NA,NA,NA,NA
"CT_comp6","T2w_median_WMH_deep","0.114444768490656","-0.0269646234194345","0.255854160400746","29.9717748670121",0.11162875290378,"Atrophy","T2w",0.501312799009031,NA,NA,NA,NA
"CT_comp6","T2w_median_WMH_PV","0.0386388250534517","-0.17382289018938","0.251100540296283","1.22725025786944",0.719273574040072,"Atrophy","T2w",0.895266689938577,NA,NA,NA,NA
"CT_comp6","T2w_median_WMH_SWM","0.0955680223857029","-0.106082145621349","0.297218190392755","3.25545588853977",0.349735474918753,"Atrophy","T2w",0.705535999323227,NA,NA,NA,NA
"CT_comp7","T2w_median_WMH","0.0584871057672572","-0.149531697466353","0.266505909000867","1.37991467018359",0.578579141749883,"Atrophy","T2w",0.8294674421547,NA,NA,NA,NA
"CT_comp7","T2w_median_WMH_deep","0.11380984510807","-0.0239337008956859","0.251553391111826","30.021463654598",0.104416917399543,"Atrophy","T2w",0.495679485904504,NA,NA,NA,NA
"CT_comp7","T2w_median_WMH_PV","0.0649861672035787","-0.144012907738968","0.273985242146126","1.27986981608779",0.539086747672377,"Atrophy","T2w",0.808630121508565,NA,NA,NA,NA
"CT_comp7","T2w_median_WMH_SWM","0.127246628714657","-0.0689848605014971","0.323478117930811","3.43023039794936",0.201504742718448,"Atrophy","T2w",0.639089567034605,NA,NA,NA,NA
"CT_comp8","T2w_median_WMH","-0.0385103623448339","-0.244041997580947","0.167021272891279","1.34338610351154",0.711153662682352,"Atrophy","T2w",0.893247098964287,NA,NA,NA,NA
"CT_comp8","T2w_median_WMH_deep","0.0464603674463998","-0.0930277061256779","0.185948441018477","28.9954549448776",0.510640306362967,"Atrophy","T2w",0.802154653144376,NA,NA,NA,NA
"CT_comp8","T2w_median_WMH_PV","-0.0303828422994315","-0.237207139242788","0.176441454643926","1.21774223662494",0.771538488652232,"Atrophy","T2w",0.909012619357539,NA,NA,NA,NA
"CT_comp8","T2w_median_WMH_SWM","0.0224514728354813","-0.177843348383293","0.222746294054255","3.06625834879862",0.824643486241558,"Atrophy","T2w",0.929337354929617,NA,NA,NA,NA
"TBV","T2w_median_WMH","-0.382839978334435","-0.612577706006501","-0.153102250662368","3.62250458799486",0.00128954989750402,"Atrophy","T2w",0.0642791025832773,0.00128954989750402,0.0642791025832773,-0.382839978334435,-0.382839978334435
"TBV","T2w_median_WMH_deep","0.147335074762909","-0.0133833352471316","0.30805348477295","30.3044811878656",0.0719868560465239,"Atrophy","T2w",0.419875551676788,NA,NA,NA,NA
"TBV","T2w_median_WMH_PV","-0.371611317651488","-0.602277714762964","-0.140944920540012","3.34689597955378",0.00183373627155994,"Atrophy","T2w",0.0660145057761578,0.00183373627155994,0.0660145057761578,-0.371611317651488,-0.371611317651488
"TBV","T2w_median_WMH_SWM","-0.114761284074595","-0.347930431189415","0.118407863040224","3.27118817428688",0.331566430966928,"Atrophy","T2w",0.692915855367435,NA,NA,NA,NA
"ICV","T2w_median_WMH","-0.321658053578479","-0.563128649160873","-0.0801874579960846","2.78917256445741",0.00949037279394127,"Atrophy","T2w",0.161835830801946,0.00949037279394127,NA,-0.321658053578479,NA
"ICV","T2w_median_WMH_deep","0.0617077617407938","-0.108205126634287","0.231620650115875","29.0330574086693",0.473282119432102,"Atrophy","T2w",0.786376444594877,NA,NA,NA,NA
"ICV","T2w_median_WMH_PV","-0.301107972742259","-0.544324856932158","-0.0578910885523592","2.46777892821673",0.0157098319920425,"Atrophy","T2w",0.21659513044348,NA,NA,NA,NA
"ICV","T2w_median_WMH_SWM","0.0776696678470011","-0.162462994683009","0.317802330377011","3.14839191189448",0.522919885694013,"Atrophy","T2w",0.802154653144376,NA,NA,NA,NA
"TBV_ICV_ratio","T2w_median_WMH","-0.0834269239098808","-0.267340825171069","0.100486977351307","1.48524695627676",0.370693399174596,"Atrophy","T2w",0.71740667885927,NA,NA,NA,NA
"TBV_ICV_ratio","T2w_median_WMH_deep","0.0954423991586456","-0.0291779129719785","0.22006271128927","29.848954610037",0.131967117705751,"Atrophy","T2w",0.543169220805154,NA,NA,NA,NA
